Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,0.120000,0.240000,0.120000,0.240000,0.240000,119193200
2017-01-04,0.240000,0.240000,0.180000,0.180000,0.180000,77647900
2017-01-05,0.240000,0.240000,0.180000,0.180000,0.180000,27760600
2017-01-06,0.180000,0.240000,0.180000,0.180000,0.180000,20267000
2017-01-09,0.180000,0.240000,0.180000,0.180000,0.180000,9168200
2017-01-10,0.180000,0.180000,0.180000,0.180000,0.180000,14570400
2017-01-11,0.180000,0.180000,0.180000,0.180000,0.180000,10432200
2017-01-12,0.180000,0.180000,0.120000,0.180000,0.180000,13747500
2017-01-13,0.180000,0.180000,0.120000,0.180000,0.180000,9390700
2017-01-17,0.180000,0.180000,0.180000,0.180000,0.180000,7689100
2017-01-18,0.180000,0.180000,0.120000,0.120000,0.120000,81000
2017-01-19,0.180000,0.180000,0.180000,0.180000,0.180000,5294900
2017-01-20,0.180000,0.180000,0.180000,0.180000,0.180000,3754900
2017-01-23,0.180000,0.180000,0.120000,0.120000,0.120000,27519900
2017-01-24,0.120000,0.120000,0.120000,0.120000,0.120000,15407000
2017-01-25,0.180000,0.180000,0.120000,0.120000,0.120000,17498700
2017-01-26,0.180000,0.180000,0.120000,0.120000,0.120000,9533800
2017-01-27,0.120000,0.120000,0.120000,0.120000,0.120000,2559900
2017-01-30,0.180000,0.180000,0.120000,0.120000,0.120000,6866600
2017-01-31,0.120000,0.180000,0.120000,0.120000,0.120000,5754400
2017-02-01,0.120000,0.120000,0.120000,0.120000,0.120000,5465100
2017-02-02,0.120000,0.120000,0.120000,0.120000,0.120000,6283300
2017-02-03,0.120000,0.120000,0.120000,0.120000,0.120000,10183600
2017-02-06,0.120000,0.120000,0.120000,0.120000,0.120000,7634700
2017-02-07,0.120000,0.120000,0.120000,0.120000,0.120000,10858100
2017-02-08,0.120000,0.120000,0.120000,0.120000,0.120000,28647700
2017-02-09,0.120000,0.120000,0.120000,0.120000,0.120000,18275900
2017-02-10,0.120000,0.120000,0.120000,0.120000,0.120000,9953600
2017-02-13,0.120000,0.120000,0.120000,0.120000,0.120000,9959100
2017-02-14,0.120000,0.120000,0.120000,0.120000,0.120000,6713000
2017-02-15,0.190000,0.440000,0.090000,0.120000,0.120000,147000
2017-02-16,0.120000,0.120000,0.120000,0.120000,0.120000,0
2017-02-17,0.150000,0.150000,0.130000,0.140000,0.140000,121500
2017-02-21,0.140000,0.150000,0.125000,0.130000,0.130000,214000
2017-02-22,0.131000,0.148000,0.126000,0.130000,0.130000,149800
2017-02-23,0.126000,0.150000,0.126000,0.140000,0.140000,296100
2017-02-24,0.145000,0.178000,0.130000,0.165000,0.165000,771400
2017-02-27,0.165000,0.165000,0.150000,0.155000,0.155000,252000
